,AbiD,AbiZ,BREX_I,CBASS_I,CBASS_II,CRISPR-Cas IF,DRT_2,DRT_3,DarTG,Druantia_III,Dsr_II,Eleos,FS_GIY_YIG,Gabija,Gao_Mza,Gao_Qat,Gao_RL,Hachiman,Hna,Kiwa,Lamassu-Cap4_nuclease,Menshen,Mokosh_Type_I_C,PD-T4-5,PD-T7-2,PD-T7-5,PrrC,PsyrTA,Pycsar,RM_I,RM_II,RM_IIG,RM_III,RM_IV,Retron_III,Retron_XI,RloC,RosmerTA,Septu,ShosTA,SoFic,Zorya_TypeI,dCTP deaminase,dGTPase,pAgo_LongB
RM_II,1,1,0.403017583,1,0.624488309,1,1,1,0.258809499,1,8.40E-17,1,1,0.182492858,0.018141593,0.615003848,1,1,1,1,1,0.087550659,1,0.00035831,1,0.000360799,1,1,0.104140647,0.425818431,1,0.13644249,1,0.035961954,1,1,1,1,0.006498407,1,1,1,0.408250363,3.37E-15,1
RM_IIG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.365888893,1,0.366016932,1,1,1,0.004616952,0.13644249,1,1,1,1,1,1,1,0.014709524,1,1,1,1,1,1
RM_III,1,1,1,1,1,0.08441934,1,1,0.265092377,1,1,1,1,1,1,0.159044772,1,1,1,1,1,1,1,0.013483594,1,0.013440744,1,1,1,0.159090423,1,1,1,1,1,1,1,1,0.397493373,1,2.45E-30,0.046679971,1,1,1
RM_IV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.035961954,1,1,1,1,1,1,1,0.135787235,1,1,1,1,1,1
Retron_III,1,1,1,1,1,1,1,1,1,1,1,1,1,1.14E-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Retron_XI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000442478
RloC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.392161315,1,1,0.013233203,0.051958784,0.295498066,1,1,0.09032116,1,0.090468322,1,1,1,2.13E-10,1,1,1,1,1,1,1,1,0.61876187,1,1,1,1,1,1
RosmerTA,1,1,1,1,1,1,0.015404641,1,1,1,1,1,0.004420861,1,1,1,0.002212389,1,1,1,1,1,1,0.590609872,1,0.590552021,1,1,1,1,1,1,1,1,1,1,1,3.91E-05,1,1,1,1,1,1,1
Septu,0.632504591,1,0.003711183,1,2.76E-16,1,3.03E-05,1,0.00106431,0.626619573,1,1,1,0.070086566,1,2.12E-08,1,1,1,1,0.047975701,1,0.621965742,6.96E-14,1,1.36E-15,1,0.070206538,9.19E-06,8.45E-46,0.006498407,0.014709524,0.397493373,0.135787235,1,1,0.61876187,1,0.000149076,1,0.164597139,0.174979296,1.39E-11,0.61876187,1
ShosTA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.098230088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SoFic,1,1,0.62871763,1,1,0.117086397,1,1,0.398286523,1,1,1,1,1,1,0.000861261,1,0.053783613,1,1,1,1,1,0.002112393,1,0.002106691,1,1,1,0.357816669,1,1,2.45E-30,1,1,1,1,1,0.164597139,1,0.350175032,1,0.633275333,1,1
Zorya_TypeI,1,1,0.64424184,1,1,0.134783429,1,1,0.000148286,1,1,1,1,1,1,0.027627505,1,1,1,1,1,1,1,0.000852621,1,0.000853795,1,1,1,4.07E-18,1,1,0.046679971,1,1,1,1,1,0.174979296,1,1,1,0.39944171,1,1
dCTP deaminase,1,1,0.047500477,1,4.29E-23,1,1,1,0.033057015,1,1,1,1,0.414911204,1,6.50E-05,1,1,1,1,1.16E-43,1,1,7.51E-09,1,7.60E-09,1,0.411382262,1,0.000170353,0.408250363,1,1,1,1,1,1,1,1.39E-11,1,0.633275333,0.39944171,0.048491388,1,1
dGTPase,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00013334,1,0.392161315,1,1,1,1,1,1,1,0.09032116,1,0.090468322,1,1,1,1,3.37E-15,1,1,1,1,1,1,1,0.61876187,1,1,1,1,1,1
pAgo_LongB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000442478,1,1,1,1,1,1,1,1,1
